App_ID,游戏名称,最低CPU,最低显卡,最低内存,最低硬盘,最低配置的注意事项,推荐CPU,推荐显卡,推荐内存,推荐硬盘,推荐配置的注意事项
552990,World of Warships,"Intel® Core™ i3-3210 @ 3.2GHz, AMD Athlon™ II X2 245 @ 2.9 GHz","1280×720; NVIDIA® GeForce® GT 640, AMD Radeon™ R7 240, Intel® HD 4000",6 GB RAM,需要 61 GB 可用空间,附注事项: 由于技术原因，只支持使用Steam版本创建的游戏账号。,"Intel® Core™ i5-4460 @ 3.2 GHz, AMD FX-8320 @ 3.5 GHz","1920×1080; NVIDIA® GeForce® GTX 770, AMD Radeon™ R9 270X 4Gb",8 GB RAM,需要 63 GB 可用空间,附注事项: 由于技术原因，只支持使用Steam版本创建的游戏账号。
578080,PUBG: BATTLEGROUNDS,Intel Core i5-4430 / AMD FX-6300,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,8 GB RAM,需要 40 GB 可用空间,,Intel Core i5-6600K / AMD Ryzen 5 1600,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB,16 GB RAM,需要 50 GB 可用空间,
1091500,赛博朋克 2077,Core i7-6700 or Ryzen 5 1600,GeForce GTX 1060 6GB or Radeon RX 580 8GB or Arc A380,12 GB RAM,需要 70 GB 可用空间,"附注事项: SSD required. Attention: In this game you will encounter a variety of visual effects that may provide seizures or loss of consciousness in a minority of people. If you or someone you know experiences any of the above symptoms while playing, stop and seek medical attention immediately.",Core i7-12700 or Ryzen 7 7800X3D,GeForce RTX 2060 SUPER or Radeon RX 5700 XT or Arc A770,16 GB RAM,需要 70 GB 可用空间,附注事项: SSD required.
230410,Warframe 星际战甲,"Intel Core i7 860, Intel Core i5 750, 或者 AMD FX-4100 (需要支持 SSE 4.2)",支持 DirectX 11+ 的显卡,4 GB 内存,网络:,请注意：目前不支持 Mac 或 Linux 。,,,,,
730,Counter-Strike 2,4 硬件线程 CPU——英特尔® 酷睿™ i5 750 或以上,显卡须为 1 GB 或以上，且应兼容 DirectX 11 并支持 Shader Model 5.0,8 GB RAM,需要 85 GB 可用空间,,,,,,
1172470,Apex Legends™,"AMD FX 4350 or Equivalent, Intel Core i3 6300 or Equivalent","AMD Radeon™ HD 7790 (2 GB), NVIDIA GeForce® GTX 950",6 GB RAM,需要 75 GB 可用空间,附注事项: ~3.8GB for 1 localized language,Ryzen 5 CPU or Equivalent,"AMD Radeon™ R9 290, NVIDIA GeForce® GTX 970",8 GB RAM,需要 75 GB 可用空间,附注事项: ~3.8GB for 1 localized language
1808500,ARC Raiders,Intel Core i5-6600K or AMD Ryzen R5 1600 processor,NVIDIA GeForce GTX 1050 Ti or AMD Radeon RX 580 or Intel Arc A380,12 GB RAM,,,Intel Core i5-9600K or AMD Ryzen 5 3600 processor,NVIDIA GeForce RTX 2070 or AMD Radeon RX 5700 XT or Intel Arc B570,16 GB RAM,,
2622380,艾尔登法环 黑夜君临,Intel Core i5-10600 / AMD RYZEN 5 5500,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB,12 GB RAM,需要 30 GB 可用空间,,Intel Core i5-11500 / AMD RYZEN 5 5600,NVIDIA GeForce GTX 1070 8GB / AMD Radeon RX Vega-56 8GB,16 GB RAM,需要 30 GB 可用空间,
2807960,战地风云™ 6,"Intel Core i5-8400, AMD Ryzen 5 2600","Nvidia RTX 2060, AMD Radeon RX 5600 XT 6GB, Intel Arc A380",16 GB RAM,需要 55 GB 可用空间,附注事项: TPM 2.0 Enabled UEFI SECURE BOOT Enabled HVCI Capable VBS Capable,"Intel Core i7-10700, AMD Ryzen 7 3700X","Nvidia RTX 3060Ti, AMD Radeon RX 6700-XT, Intel Arc B580",16 GB RAM,需要 80 GB 可用空间,附注事项: TPM 2.0 Enabled UEFI SECURE BOOT Enabled HVCI Capable VBS Capable
261550,Mount & Blade II: Bannerlord,Intel® Core™ i3-8100 / AMD Ryzen™ 3 1200,Intel® UHD Graphics 630 / NVIDIA® GeForce® GTX 660 2GB / AMD Radeon™ HD 7850 2GB,6 GB RAM,需要 60 GB 可用空间,附注事项: 集成显卡额外需要 2 GB 系统内存。以上仅为估算配置，可能会在游戏正式推出时发生变化。,Intel® Core™ i5-9600K / AMD Ryzen™ 5 3600X,NVIDIA® GeForce® GTX 1060 3GB / AMD Radeon™ RX 580,8 GB RAM,需要 60 GB 可用空间,附注事项: 以上仅为估算配置，可能会在游戏正式推出时发生变化。
1449850,Yu-Gi-Oh! Master Duel,Intel Core i5-9400F,NVIDIA GeForce GTX 1650,8 GB RAM,需要 64 GB 可用空间,附注事项: 1280 x 720 monitor resolution,Intel Core i5-11400F,NVIDIA GeForce RTX 3060,16 GB RAM,需要 128 GB 可用空间,附注事项: 1920 x 1080 monitor resolution
3472040,NBA 2K26,Intel® Core™ i3-9100 or AMD Ryzen™ 3 1200,NVIDIA® GeForce® GTX 1060 5 GB or AMD Radeon™ RX 5500 XT 4 GB or Intel® Arc™ A580,8 GB RAM,需要 110 GB 可用空间,"附注事项: SSD Required. Dual-analog Gamepad recommended. Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2019. In order to play NBA 2K26 on PC, you need a processor capable of supporting AVX2 and a graphics card capable of supporting DirectX feature level 12.0.",Intel® Core™ i5-10600 or AMD Ryzen™ 5 3600X,NVIDIA® GeForce® RTX 2070 8 GB or AMD Radeon™ RX 5700 8 GB or Intel® Arc™ A770,16 GB RAM,需要 110 GB 可用空间,"附注事项: SSD Required. Dual-analog Gamepad recommended. Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2019. In order to play NBA 2K26 on PC, you need a processor capable of supporting AVX2 and a graphics card capable of supporting DirectX feature level 12.0."
292030,巫师 3：狂猎,Intel CPU Core i5-2500K 3.3GHz / AMD A10-5800K APU (3.8GHz),Nvidia GPU GeForce GTX 660 / AMD GPU Radeon HD 7870,6 GB RAM,需要 50 GB 可用空间,,Intel Core i5-7400 / Ryzen 5 1600,Nvidia GTX 1070 / Radeon RX 480,8 GB RAM,需要 50 GB 可用空间,
570,Dota 2,2.8GHz 的英特尔双核处理器或超威处理器,"nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600",4 GB RAM,需要 60 GB 可用空间,,,,,,
990080,霍格沃茨之遗,Intel Core i5-6600 (3.3Ghz) or AMD Ryzen 5 1400 (3.2Ghz),NVIDIA GeForce GTX 960 4GB or AMD Radeon RX 470 4GB,16 GB RAM,需要 85 GB 可用空间,"附注事项: SSD (Preferred), HDD (Supported), 720p/30 fps, Low Quality Settings",Intel Core i7-8700 (3.2Ghz) or AMD Ryzen 5 3600 (3.6 Ghz),NVIDIA GeForce 1080 Ti or AMD Radeon RX 5700 XT or INTEL Arc A770,16 GB RAM,需要 85 GB 可用空间,"附注事项: SSD, 1080p/60 fps, High Quality Settings"
3240220,Grand Theft Auto V 增强版,Intel® Core™ i7-4770 | AMD FX™-9590,NVIDIA GeForce® GTX 1630 (4GB VRAM) | AMD Radeon™ RX 6400 (4GB VRAM),8 GB RAM,需要 105 GB 可用空间,"附注事项: SSD Required | Over time downloadable content and programming changes will change the system requirements for this game. Please refer to your hardware manufacturer and for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher. Other requirements: Installation and online play requires log-in to Rockstar Games account (minimum age varies) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Launcher, DirectX, Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication and verification software that recognizes certain hardware attributes for entitlement, digital rights management, anti-cheat and moderation software, system, and other support purposes. *Compatible PC and/or device required. 3D Audio via Windows Spatial Sound compatible audio systems",Intel® Core™ i5-9600K | AMD Ryzen™ 5 3600,NVIDIA GeForce® RTX 3060 (8GB VRAM) | AMD Radeon™ RX 6600XT (8GB VRAM),16 GB RAM,需要 105 GB 可用空间,附注事项: SSD with DirectStorage-compatibility
1142710,全面战争：战锤3,Intel i3/Ryzen 3 series,Nvidia GTX 900/AMD RX 400 series | Intel Iris Xe Graphics,6 GB RAM,需要 120 GB 可用空间,附注事项: This game may be updated over time and have paid for and free. additional content released for it. Please be aware that this may increase the minimum requirements for running the game above the specification stated here. Microsoft no longer supports Windows 10 or older versions.,Intel i5/Ryzen 5 series,Nvidia GeForce GTX 1660 Ti/AMD RX 5600-XT/Intel Arc A750,8 GB RAM,需要 120 GB 可用空间,附注事项: 8GB Memory if using integrated GPU. Microsoft no longer supports Windows 10 or older versions.
2507950,三角洲行动,Intel Core i3-4150 / AMD FX-6300,Nvidia Geforce GTX 660 / AMD HD 7870 / Intel Arc A380,8 GB RAM,需要 88 GB 可用空间,,Intel Core i5-6500 / AMD Ryzen 5 1500x,Nvidia Geforce GTX 1060 5G / AMD RX5500 XT / Intel Arc A580,16 GB RAM,需要 88 GB 可用空间,
1426210,双人成行,Intel Core i3-2100T or AMD FX 6100,Nvidia GeForce GTX 660 or AMD R7 260x,8 GB RAM,需要 50 GB 可用空间,,Intel Core i5 3570K or AMD Ryzen 3 1300x,Nvidia GeForce GTX 980 or AMD R9 290X,16 GB RAM,需要 50 GB 可用空间,
227300,Euro Truck Simulator 2,Intel Core i5-6400 or AMD Ryzen 3 1200 or similar,NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM),8 GB RAM,25 GB available space (Euro Truck Simulator 2 base game),,Intel Core i5-9600 or AMD Ryzen 5 3600 or similar,NVIDIA GeForce GTX 1660 or AMD Radeon RX 590 (2GB VRAM),12 GB RAM,25 GB available space (Euro Truck Simulator 2 base game),
3167020,逃离鸭科夫,intel Core i7-9700/AMD Ryzen 5 5600,NVIDIA GeForce GTX 1060/AMD Radeon RX 6500 XT,8 GB RAM,需要 16 GB 可用空间,,intel Core i7-9700/AMD Ryzen 7 5700,NVIDIA GeForce GTX 2060/AMD Radeon RX 6600,16 GB RAM,需要 16 GB 可用空间,
3405690,EA SPORTS FC™ 26,AMD Ryzen 5 1600 or Intel Core i5 6600k,AMD RX 570 or Nvidia GTX 1050 Ti,8 GB RAM,需要 100 GB 可用空间,,AMD Ryzen 7 2700X or Intel Core i7 6700,AMD RX 5600 XT or Nvidia GTX 1660,12 GB RAM,需要 100 GB 可用空间,
3014320,歧路旅人0 OCTOPATH TRAVELER 0,AMD Ryzen™ 3 2300X / Intel® Core™ i3-8100,AMD Radeon™ RX 470 / NVIDIA® GeForce® GTX 960,8 GB RAM,需要 10 GB 可用空间,"附注事项: 1920 × 1080, Graphics Preset ""Low"", 30FPS",AMD Ryzen™ 5 2600 / Intel® Core™ i5-8400,AMD Radeon™ RX 5600XT / NVIDIA® GeForce® GTX 1070 / Intel® Arc™ A580,16 GB RAM,需要 10 GB 可用空间,"附注事项: 1920x1080, Graphics Preset ""Ultra"", 60FPS"
1361210,战锤40K：暗潮,Intel i5-6600 (3.30GHz) OR AMD Ryzen 2400G (3.6 GHz),NVIDIA GeForce GTX 970 OR AMD Radeon RX 570,8 GB RAM,需要 72 GB 可用空间,,Intel i7-9700K (3.70GHz) OR AMD Ryzen 5 3600 (4.2GHz),NVIDIA GeForce RTX 3060 / RTX 2060 OR AMD Radeon RX 5700 XT,16 GB RAM,需要 72 GB 可用空间,附注事项: An SSD storage device is highly recommended
1973530,Limbus Company,Intel Core i5,GeForce GT 1030,8 GB RAM,需要 10 GB 可用空间,,Intel Core i5,GeForce GT 1030,8 GB RAM,需要 10 GB 可用空间,
1203220,永劫无间,Intel i5 4代 或 AMD FX 6300,NVIDIA GeForce GTX 750TI、Intel Arc A380或AMD HD 6950及同等型号显卡,8 GB RAM,需要 55 GB 可用空间,附注事项: a) 可在720p/60fps的情况下进行游戏; b)为了更流畅的游戏体验，我们建议您将游戏安装在SSD硬盘上,Intel i7 7代,NVIDIA GeForce GTX 1060 6G、Intel Arc A750或AMD RX480及同等型号显卡,16 GB RAM,需要 55 GB 可用空间,附注事项: a) 可在1080p/60fps的情况下进行游戏; b)为了更流畅的游戏体验，我们建议您将游戏安装在SSD硬盘上
